cod;nome;período;valor
12;AC;1999;3
41;PR;1999;192
35;SP;1999;512
51;MT;1999;42
23;CE;1999;108
13;AM;1999;28
24;RN;1999;29
26;PE;1999;96
33;RJ;1999;86
25;PB;1999;19
29;BA;1999;54
21;MA;1999;25
52;GO;1999;88
27;AL;1999;33
17;TO;1999;14
22;PI;1999;17
31;MG;1999;181
11;RO;1999;27
50;MS;1999;55
14;RR;1999;16
28;SE;2000;21
12;AC;2000;16
42;SC;2000;110
24;RN;2000;24
31;MG;2000;195
14;RR;2000;10
15;PA;2000;56
16;AP;2000;11
53;DF;2000;32
32;ES;2000;27
11;RO;2000;34
17;TO;2000;22
29;BA;2000;60
27;AL;2000;22
52;GO;2000;121
21;MA;2000;33
25;PB;2000;10
33;RJ;2000;90
26;PE;2000;96
13;AM;2000;38
51;MT;2000;58
35;SP;2000;417
41;PR;2000;202
22;PI;2000;26
23;CE;2000;106
43;RS;2000;228
50;MS;2000;77
26;PE;2001;93
13;AM;2001;54
43;RS;2001;247
35;SP;2001;512
24;RN;2001;32
23;CE;2001;128
25;PB;2001;16
53;DF;2001;37
51;MT;2001;59
27;AL;2001;43
11;RO;2001;34
16;AP;2001;21
28;SE;2001;18
15;PA;2001;75
52;GO;2001;112
14;RR;2001;10
22;PI;2001;50
21;MA;2001;54
31;MG;2001;260
17;TO;2001;17
41;PR;2001;215
29;BA;2001;83
12;AC;2001;14
33;RJ;2001;130
32;ES;2001;45
42;SC;2001;117
50;MS;2001;63
32;ES;2002;41
14;RR;2002;12
13;AM;2002;44
28;SE;2002;22
15;PA;2002;73
35;SP;2002;504
24;RN;2002;37
42;SC;2002;114
29;BA;2002;88
51;MT;2002;50
23;CE;2002;157
53;DF;2002;35
50;MS;2002;74
25;PB;2002;22
41;PR;2002;183
43;RS;2002;231
33;RJ;2002;129
11;RO;2002;20
27;AL;2002;37
21;MA;2002;56
17;TO;2002;17
31;MG;2002;276
12;AC;2002;10
16;AP;2002;21
52;GO;2002;118
22;PI;2002;45
26;PE;2002;99
13;AM;2003;46
11;RO;2003;26
29;BA;2003;100
17;TO;2003;25
27;AL;2003;21
12;AC;2003;14
52;GO;2003;112
41;PR;2003;213
24;RN;2003;43
23;CE;2003;170
21;MA;2003;40
15;PA;2003;63
31;MG;2003;296
33;RJ;2003;98
26;PE;2003;123
51;MT;2003;69
25;PB;2003;28
42;SC;2003;100
43;RS;2003;237
35;SP;2003;522
50;MS;2003;74
28;SE;2003;35
16;AP;2003;23
53;DF;2003;30
22;PI;2003;63
32;ES;2003;35
14;RR;2003;7
14;RR;2004;16
12;AC;2004;18
26;PE;2004;94
33;RJ;2004;95
43;RS;2004;241
21;MA;2004;41
23;CE;2004;167
31;MG;2004;306
41;PR;2004;238
28;SE;2004;23
32;ES;2004;42
11;RO;2004;26
52;GO;2004;119
24;RN;2004;31
27;AL;2004;36
13;AM;2004;50
53;DF;2004;40
29;BA;2004;84
25;PB;2004;19
16;AP;2004;21
51;MT;2004;62
17;TO;2004;24
15;PA;2004;68
42;SC;2004;104
22;PI;2004;69
35;SP;2004;472
50;MS;2004;80
11;RO;2005;28
29;BA;2005;115
31;MG;2005;276
24;RN;2005;47
28;SE;2005;32
32;ES;2005;41
27;AL;2005;23
23;CE;2005;192
26;PE;2005;98
25;PB;2005;30
22;PI;2005;59
43;RS;2005;260
42;SC;2005;112
12;AC;2005;6
41;PR;2005;226
50;MS;2005;80
35;SP;2005;463
15;PA;2005;74
51;MT;2005;49
53;DF;2005;30
33;RJ;2005;96
21;MA;2005;37
52;GO;2005;119
13;AM;2005;45
17;TO;2005;22
16;AP;2005;23
14;RR;2005;14
26;PE;2006;112
23;CE;2006;163
16;AP;2006;13
43;RS;2006;239
27;AL;2006;36
25;PB;2006;42
31;MG;2006;326
32;ES;2006;43
51;MT;2006;44
41;PR;2006;193
17;TO;2006;24
22;PI;2006;53
21;MA;2006;65
52;GO;2006;93
15;PA;2006;69
12;AC;2006;13
24;RN;2006;51
50;MS;2006;78
29;BA;2006;127
42;SC;2006;106
14;RR;2006;18
53;DF;2006;46
